,Current,Voltage
,-2.435E-04,-0.118
,-2.434E-04,-0.119
,-2.433E-04,-0.116
,-2.432E-04,-0.12
,-2.431E-04,-0.12
,-2.43E-04,-0.121
,-2.429E-04,-0.118
,-2.428E-04,-0.12
,-2.427E-04,-0.119
,-2.426E-04,-0.124
,-2.425E-04,-0.118
,-2.424E-04,-0.116
,-2.423E-04,-0.117
,-2.422E-04,-0.122
,-2.421E-04,-0.117
,-2.42E-04,-0.117
,-2.419E-04,-0.118
,-2.418E-04,-0.119
,-2.417E-04,-0.12
,-2.416E-04,-0.124
,-2.415E-04,-0.123
,-2.414E-04,-0.121
,-2.413E-04,-0.123
,-2.412E-04,-0.118
,-2.411E-04,-0.119
,-2.41E-04,-0.122
,-2.409E-04,-0.12
,-2.408E-04,-0.121
,-2.407E-04,-0.121
,-2.406E-04,-0.118
,-2.405E-04,-0.118
,-2.404E-04,-0.12
,-2.403E-04,-0.118
,-2.402E-04,-0.119
,-2.401E-04,-0.117
,-2.4E-04,-0.123
,-2.399E-04,-0.119
,-2.398E-04,-0.12
,-2.397E-04,-0.12
,-2.396E-04,-0.121
,-2.395E-04,-0.122
,-2.394E-04,-0.12
,-2.393E-04,-0.119
,-2.392E-04,-0.119
,-2.391E-04,-0.118
,-2.39E-04,-0.119
,-2.389E-04,-0.118
,-2.388E-04,-0.119
,-2.387E-04,-0.118
,-2.386E-04,-0.122
,-2.385E-04,-0.119
,-2.384E-04,-0.119
,-2.383E-04,-0.121
,-2.382E-04,-0.118
,-2.381E-04,-0.122
,-2.38E-04,-0.124
,-2.379E-04,-0.12
,-2.378E-04,-0.119
,-2.377E-04,-0.118
,-2.376E-04,-0.121
,-2.375E-04,-0.119
,-2.374E-04,-0.121
,-2.373E-04,-0.12
,-2.372E-04,-0.121
,-2.371E-04,-0.12
,-2.37E-04,-0.119
,-2.369E-04,-0.121
,-2.368E-04,-0.119
,-2.367E-04,-0.119
,-2.366E-04,-0.119
,-2.365E-04,-0.12
,-2.364E-04,-0.121
,-2.363E-04,-0.121
,-2.362E-04,-0.121
,-2.361E-04,-0.123
,-2.36E-04,-0.121
,-2.359E-04,-0.119
,-2.358E-04,-0.12
,-2.357E-04,-0.116
,-2.356E-04,-0.122
,-2.355E-04,-0.118
,-2.354E-04,-0.12
,-2.353E-04,-0.12
,-2.352E-04,-0.121
,-2.351E-04,-0.119
,-2.35E-04,-0.123
,-2.349E-04,-0.121
,-2.348E-04,-0.121
,-2.347E-04,-0.123
,-2.346E-04,-0.119
,-2.345E-04,-0.12
